TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,8,31,1,52,13XX DISCOVERY ST,West Point Grey,485246.8717,5458027.4871
Break and Enter Commercial,2022,3,30,4,0,25XX DISCOVERY ST,West Point Grey,485225.9833,5456838.0394
Break and Enter Commercial,2022,4,6,0,0,25XX SASAMAT ST,West Point Grey,484781.5558,5456829.252
Break and Enter Commercial,2022,1,8,14,28,37XX W 10TH AVE,West Point Grey,486352.7415,5456763.8336
Break and Enter Commercial,2022,7,22,0,0,37XX W 6TH AVE,West Point Grey,486401.4423,5457144.0456
Break and Enter Commercial,2022,7,10,5,0,38XX W 4TH AVE,West Point Grey,486191.7861,5457351.97
Break and Enter Commercial,2022,8,5,11,33,38XX W 4TH AVE,West Point Grey,486191.7861,5457351.97
Break and Enter Commercial,2022,10,21,23,59,38XX W 4TH AVE,West Point Grey,486274.1682,5457343.1609
Break and Enter Commercial,2022,3,25,21,0,43XX W 10TH AVE,West Point Grey,485094.0424,5456794.3865
Break and Enter Commercial,2022,1,4,0,0,43XX W 10TH AVE,West Point Grey,485107.6277,5456803.178
Break and Enter Residential/Other,2022,5,23,13,0,19XX WALLACE ST,West Point Grey,486126.3004,5457363.1609
Break and Enter Residential/Other,2022,2,25,8,30,24XX COURTENAY ST,West Point Grey,485356.8585,5456922.5624
Break and Enter Residential/Other,2022,11,25,0,0,37XX W 11TH AVE,West Point Grey,486401.3322,5456656.5325
Break and Enter Residential/Other,2022,9,7,23,0,37XX W 15TH AVE,West Point Grey,486433.6424,5456253.4335
Break and Enter Residential/Other,2022,3,27,17,30,37XX W 2ND AVE,West Point Grey,486387.1752,5457539.5858
Break and Enter Residential/Other,2022,5,12,22,44,37XX W 2ND AVE,West Point Grey,486400.5059,5457539.2138
Break and Enter Residential/Other,2022,5,14,20,0,37XX W 2ND AVE,West Point Grey,486451.1627,5457537.8003
Break and Enter Residential/Other,2022,3,18,23,0,37XX W 3RD AVE,West Point Grey,486403.4245,5457442.0256
Break and Enter Residential/Other,2022,7,6,20,30,37XX W 3RD AVE,West Point Grey,486447.8295,5457440.7868
Break and Enter Residential/Other,2022,3,9,19,40,37XX W 3RD AVE,West Point Grey,486478.0885,5457430.7955
