TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2021,6,17,8,27,45XX W 14TH AVE,West Point Grey,484651.3365,5456401.7294
Break and Enter Residential/Other,2021,1,15,21,40,45XX W 14TH AVE,West Point Grey,484680.3807,5456410.1124
Break and Enter Residential/Other,2021,8,6,15,52,45XX W 3RD AVE,West Point Grey,484631.9455,5457513.1517
Break and Enter Residential/Other,2021,5,4,13,30,45XX W 5TH AVE,West Point Grey,484709.4609,5457284.3768
Break and Enter Residential/Other,2021,6,23,8,42,45XX W 7TH AVE,West Point Grey,484708.3055,5457103.8442
Break and Enter Residential/Other,2021,8,3,4,23,46XX NW MARINE DR,West Point Grey,484484.3302,5458084.0693
Break and Enter Residential/Other,2021,7,23,11,20,46XX W 12TH AVE,West Point Grey,484532.5074,5456614.0347
Break and Enter Residential/Other,2021,1,21,17,20,46XX W 13TH AVE,West Point Grey,484353.7658,5456518.823
Break and Enter Residential/Other,2021,2,16,17,0,46XX W 16TH AVE,West Point Grey,484385.637,5456218.5804
Break and Enter Residential/Other,2021,2,23,6,45,46XX W 3RD AVE,West Point Grey,484423.8671,5457526.047
Break and Enter Residential/Other,2021,7,4,1,19,46XX W 5TH AVE,West Point Grey,484572.1602,5457287.1744
Break and Enter Residential/Other,2021,2,25,2,40,46XX W 9TH AVE,West Point Grey,484441.299,5456908.9234
Break and Enter Residential/Other,2021,5,1,22,25,46XX W 9TH AVE,West Point Grey,484505.9689,5456907.1413
Break and Enter Residential/Other,2021,1,15,19,39,47XX BELMONT AVE,West Point Grey,484235.3109,5457997.0816
Break and Enter Residential/Other,2021,7,14,12,1,47XX DRUMMOND DR,West Point Grey,484109.2023,5457897.7996
Mischief,2021,5,11,18,7,15XX ALMA ST,West Point Grey,486496.6132,5457757.9668
Mischief,2021,12,17,1,16,15XX DISCOVERY ST,West Point Grey,485257.02,5457877.2966
Mischief,2021,4,5,8,51,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Mischief,2021,4,16,10,0,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Mischief,2021,11,13,16,24,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Mischief,2021,5,11,12,0,20XX HIGHBURY ST,West Point Grey,486353.9527,5457305.3113
Mischief,2021,4,21,8,12,20XX HIGHBURY ST,West Point Grey,486353.9537,5457303.9597
Mischief,2021,11,15,16,51,21XX TOLMIE ST,West Point Grey,484583.5004,5457290.0147
Mischief,2021,1,24,19,30,25XX TOLMIE ST,West Point Grey,484562.5588,5456838.9332
Mischief,2021,8,7,23,0,26XX TRIMBLE ST,West Point Grey,485009.779,5456776.8224
Mischief,2021,1,19,23,0,37XX W 12TH AVE,West Point Grey,486376.7652,5456559.8206
Mischief,2021,1,8,20,0,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Mischief,2021,11,5,17,30,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Mischief,2021,6,5,23,0,38XX W 13TH AVE,West Point Grey,486227.5757,5456470.5406
Mischief,2021,6,16,21,30,38XX W 15TH AVE,West Point Grey,486127.7098,5456261.1333
Mischief,2021,5,13,2,10,38XX W BROADWAY AVE,West Point Grey,486315.4405,5456863.0552
Mischief,2021,4,19,19,0,39XX W 16TH AVE,West Point Grey,486008.1785,5456173.8565
Mischief,2021,1,28,23,0,40XX W 10TH AVE,West Point Grey,485717.1157,5456778.2881
Mischief,2021,5,26,0,0,40XX W 10TH AVE,West Point Grey,485855.1395,5456776.3655
Mischief,2021,11,4,11,45,41XX W 12TH AVE,West Point Grey,485545.2524,5456590.3041
Mischief,2021,2,3,18,0,41XX W 15TH AVE,West Point Grey,485511.6068,5456285.0138
Mischief,2021,11,21,17,49,41XX W 4TH AVE,West Point Grey,485491.5014,5457344.8956
Mischief,2021,11,20,17,40,41XX W 8TH AVE,West Point Grey,485688.261,5456979.5162
