TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2018,5,18,18,30,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Break and Enter Commercial,2018,5,29,23,0,20XX TRIMBLE ST,West Point Grey,485025.4601,5457365.1269
Break and Enter Commercial,2018,9,25,14,8,25XX ALMA ST,West Point Grey,486471.263,5456826.1357
Break and Enter Commercial,2018,11,9,18,0,25XX COURTENAY ST,West Point Grey,485410.077,5456831.6682
Break and Enter Commercial,2018,9,17,12,0,37XX POINT GREY RD,West Point Grey,486429.2082,5457738.0186
Break and Enter Commercial,2018,2,2,14,4,37XX W 10TH AVE,West Point Grey,486401.2701,5456770.8614
Break and Enter Commercial,2018,12,31,13,0,37XX W 8TH AVE,West Point Grey,486449.539,5456955.2204
Break and Enter Commercial,2018,7,30,5,16,38XX POINT GREY RD,West Point Grey,486252.4818,5457691.0472
Break and Enter Commercial,2018,6,15,16,0,43XX W 10TH AVE,West Point Grey,485074.7198,5456804.0396
Break and Enter Commercial,2018,5,29,23,0,43XX W 6TH AVE,West Point Grey,485124.4953,5457185.7776
Break and Enter Commercial,2018,9,5,18,15,44XX W 10TH AVE,West Point Grey,484948.5645,5456807.3028
Break and Enter Commercial,2018,10,18,1,23,44XX W 8TH AVE,West Point Grey,484984.2211,5456990.5196
Break and Enter Commercial,2018,7,11,4,30,45XX W 10TH AVE,West Point Grey,484625.7794,5456815.5142
Break and Enter Commercial,2018,11,17,0,0,45XX W 10TH AVE,West Point Grey,484625.7794,5456815.5142
Break and Enter Commercial,2018,12,30,13,21,46XX W 10TH AVE,West Point Grey,484387.8885,5456812.7608
Break and Enter Commercial,2018,3,15,3,0,46XX W 10TH AVE,West Point Grey,484519.1794,5456809.1678
Break and Enter Commercial,2018,1,13,3,15,47XX NW MARINE DR,West Point Grey,484307.3391,5458179.0801
Break and Enter Residential/Other,2018,5,29,22,0,18XX TOLMIE ST,West Point Grey,484591.3866,5457597.7236
Break and Enter Residential/Other,2018,2,10,18,59,25XX ALMA ST,West Point Grey,486470.8032,5456798.9232
Break and Enter Residential/Other,2018,4,7,2,0,37XX W 10TH AVE,West Point Grey,486409.2915,5456770.5102
Break and Enter Residential/Other,2018,1,20,12,7,37XX W 12TH AVE,West Point Grey,486450.0503,5456566.8051
Break and Enter Residential/Other,2018,9,9,4,17,37XX W 13TH AVE,West Point Grey,486423.7252,5456466.1328
Break and Enter Residential/Other,2018,5,9,13,16,37XX W 7TH AVE,West Point Grey,486359.073,5457047.2727
Break and Enter Residential/Other,2018,3,25,0,0,38XX W 11TH AVE,West Point Grey,486212.0185,5456670.6358
Break and Enter Residential/Other,2018,11,5,21,0,38XX W 13TH AVE,West Point Grey,486278.4343,5456460.0689
Break and Enter Residential/Other,2018,5,15,0,0,38XX W 13TH AVE,West Point Grey,486303.9826,5456459.4034
Break and Enter Residential/Other,2018,11,8,19,0,38XX W 15TH AVE,West Point Grey,486260.3565,5456266.9342
Break and Enter Residential/Other,2018,1,4,12,0,38XX W 2ND AVE,West Point Grey,486232.6153,5457534.6014
Break and Enter Residential/Other,2018,7,15,16,30,38XX W BROADWAY AVE,West Point Grey,486245.3029,5456878.5622
Break and Enter Residential/Other,2018,3,20,18,0,39XX ORTONA CRES,West Point Grey,486066.092,5457076.2842
Break and Enter Residential/Other,2018,9,23,19,17,39XX W 10TH AVE,West Point Grey,486058.7785,5456771.6324
Break and Enter Residential/Other,2018,9,10,21,0,39XX W 12TH AVE,West Point Grey,486056.814,5456567.5665
Break and Enter Residential/Other,2018,3,10,17,0,39XX W 13TH AVE,West Point Grey,486030.2873,5456466.5088
Break and Enter Residential/Other,2018,10,18,16,0,39XX W 13TH AVE,West Point Grey,486056.2887,5456474.9866
Break and Enter Residential/Other,2018,12,15,8,38,39XX W BROADWAY AVE,West Point Grey,486090.0539,5456891.8189
Break and Enter Residential/Other,2018,2,6,0,33,39XX W BROADWAY AVE,West Point Grey,486096.0156,5456900.2307
Break and Enter Residential/Other,2018,11,6,3,47,40XX W 12TH AVE,West Point Grey,485705.9844,5456586.3157
Break and Enter Residential/Other,2018,11,8,20,40,40XX W 14TH AVE,West Point Grey,485721.586,5456373.8696
