TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,10,19,3,31,25XX DISCOVERY ST,West Point Grey,485225.9833,5456838.0394
Break and Enter Commercial,2020,11,21,12,0,37XX W 10TH AVE,West Point Grey,486352.7415,5456763.8336
Break and Enter Commercial,2020,10,4,23,50,37XX W 10TH AVE,West Point Grey,486411.2808,5456761.2702
Break and Enter Commercial,2020,3,17,9,22,37XX W 10TH AVE,West Point Grey,486414.2391,5456761.1407
Break and Enter Commercial,2020,1,1,17,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2020,5,16,2,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2020,1,2,4,45,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2020,7,1,11,57,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2020,12,5,4,14,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2020,11,28,8,9,37XX W 8TH AVE,West Point Grey,486359.1727,5456956.6256
Break and Enter Commercial,2020,9,22,20,22,38XX POINT GREY RD,West Point Grey,486253.91,5457691.8158
Break and Enter Commercial,2020,3,8,3,30,45XX W 10TH AVE,West Point Grey,484703.0892,5456804.4026
Break and Enter Commercial,2020,1,18,15,28,45XX W 10TH AVE,West Point Grey,484757.6736,5456803.0182
Break and Enter Commercial,2020,4,1,18,0,46XX W 10TH AVE,West Point Grey,484387.8885,5456812.7608
Break and Enter Commercial,2020,5,11,21,0,46XX W 10TH AVE,West Point Grey,484445.0187,5456811.1986
Break and Enter Commercial,2020,5,9,17,30,46XX W 10TH AVE,West Point Grey,484486.0574,5456819.2222
Break and Enter Commercial,2020,11,10,21,0,46XX W 10TH AVE,West Point Grey,484486.0574,5456819.2222
Break and Enter Residential/Other,2020,4,29,20,0,17XX BLANCA ST,West Point Grey,484362.9293,5457749.9603
Break and Enter Residential/Other,2020,10,20,21,0,20XX TOLMIE ST,West Point Grey,484585.4976,5457367.8449
Break and Enter Residential/Other,2020,8,28,16,25,20XX TRIMBLE ST,West Point Grey,485025.4601,5457365.1269
Break and Enter Residential/Other,2020,2,14,22,24,25XX COURTENAY ST,West Point Grey,485385.7301,5456858.2934
Break and Enter Residential/Other,2020,6,29,0,7,25XX COURTENAY ST,West Point Grey,485385.7301,5456858.2934
Break and Enter Residential/Other,2020,1,31,22,0,25XX WALLACE CRES,West Point Grey,485994.6619,5456868.8397
Break and Enter Residential/Other,2020,4,3,9,59,26XX TRIMBLE ST,West Point Grey,485009.779,5456776.8224
Break and Enter Residential/Other,2020,2,10,18,52,27XX CAMOSUN ST,West Point Grey,485671.0854,5456611.8124
Break and Enter Residential/Other,2020,10,5,23,30,28XX HIGHBURY ST,West Point Grey,486332.8415,5456474.5734
Break and Enter Residential/Other,2020,12,31,9,58,30XX COURTENAY ST,West Point Grey,485434.2735,5456346.6254
Break and Enter Residential/Other,2020,3,11,12,24,30XX CROWN ST,West Point Grey,485874.2674,5456340.1114
Break and Enter Residential/Other,2020,3,2,22,0,31XX TOLMIE ST,West Point Grey,484556.3393,5456269.2047
Break and Enter Residential/Other,2020,3,30,8,0,37XX W 10TH AVE,West Point Grey,486409.1208,5456770.5176
Break and Enter Residential/Other,2020,7,10,0,0,37XX W 15TH AVE,West Point Grey,486353.3029,5456255.4471
Break and Enter Residential/Other,2020,5,4,11,23,37XX W 2ND AVE,West Point Grey,486440.243,5457528.9574
Break and Enter Residential/Other,2020,9,20,20,0,37XX W 2ND AVE,West Point Grey,486440.243,5457528.9574
Break and Enter Residential/Other,2020,11,20,11,31,37XX W BROADWAY AV,West Point Grey,486448.324,5456857.4189
Break and Enter Residential/Other,2020,5,3,13,42,37XX W BROADWAY AVE,West Point Grey,486365.8927,5456857.8674
Break and Enter Residential/Other,2020,6,20,20,0,37XX W BROADWAY AVE,West Point Grey,486400.5104,5456866.8232
Break and Enter Residential/Other,2020,3,18,1,9,38XX W 10TH AVE,West Point Grey,486206.9891,5456767.8675
Break and Enter Residential/Other,2020,9,18,0,0,38XX W 10TH AVE,West Point Grey,486206.9891,5456767.8675
Break and Enter Residential/Other,2020,8,17,19,49,38XX W 10TH AVE,West Point Grey,486244.1939,5456766.9197
Break and Enter Residential/Other,2020,11,6,9,48,38XX W 10TH AVE,West Point Grey,486248.4177,5456766.8121
Break and Enter Residential/Other,2020,1,22,21,16,38XX W 10TH AVE,West Point Grey,486282.4408,5456775.0923
