TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2019,7,28,18,28,26XX ALMA ST,West Point Grey,486469.76,5456738.8793
Break and Enter Commercial,2019,6,9,0,0,37XX W 10TH AVE,West Point Grey,486352.7415,5456763.8336
Break and Enter Commercial,2019,9,29,22,0,37XX W BROADWAY AVE,West Point Grey,486469.5332,5456866.4475
Break and Enter Commercial,2019,8,1,11,15,40XX W 4TH AVE,West Point Grey,485800.8202,5457337.5655
Break and Enter Commercial,2019,6,2,0,1,43XX W 10TH AVE,West Point Grey,485107.3883,5456794.0371
Break and Enter Commercial,2019,1,15,4,36,44XX W 10TH AVE,West Point Grey,484813.2267,5456810.7527
Break and Enter Commercial,2019,1,14,21,0,44XX W 10TH AVE,West Point Grey,484836.9826,5456810.147
Break and Enter Commercial,2019,12,20,5,39,45XX W 10TH AVE,West Point Grey,484736.9115,5456812.6918
Break and Enter Commercial,2019,7,19,10,0,46XX W 10TH AVE,West Point Grey,484486.0574,5456819.2222
Break and Enter Residential/Other,2019,4,11,20,0,17XX SASAMAT ST,West Point Grey,484814.5262,5457709.8753
Break and Enter Residential/Other,2019,6,8,1,5,19XX WALLACE ST,West Point Grey,486126.3004,5457363.1609
Break and Enter Residential/Other,2019,5,3,1,0,21XX ALMA ST,West Point Grey,486483.1983,5457216.5669
Break and Enter Residential/Other,2019,10,9,7,35,24XX COURTENAY ST,West Point Grey,485368.1811,5456884.6849
Break and Enter Residential/Other,2019,9,16,10,37,25XX CROWN ST,West Point Grey,485894.2577,5456792.1522
Break and Enter Residential/Other,2019,10,26,17,39,25XX DISCOVERY ST,West Point Grey,485226.0105,5456839.5176
Break and Enter Residential/Other,2019,12,6,23,0,27XX ALMA ST,West Point Grey,486468.4797,5456573.5998
Break and Enter Residential/Other,2019,12,26,10,26,29XX HIGHBURY ST,West Point Grey,486330.6066,5456398.9307
Break and Enter Residential/Other,2019,10,4,0,0,37XX W 11TH AVE,West Point Grey,486429.7131,5456655.7782
Break and Enter Residential/Other,2019,11,7,18,30,37XX W 3RD AVE,West Point Grey,486414.271,5457432.5753
Break and Enter Residential/Other,2019,8,30,19,42,37XX W 6TH AVE,West Point Grey,486440.6215,5457152.0436
Break and Enter Residential/Other,2019,8,11,9,2,37XX W 7TH AVE,West Point Grey,486359.073,5457047.2727
Break and Enter Residential/Other,2019,11,15,16,0,37XX W BROADWAY AVE,West Point Grey,486349.9382,5456857.9542
Break and Enter Residential/Other,2019,12,9,13,32,38XX W 12TH AVE,West Point Grey,486304.1746,5456561.79
Break and Enter Residential/Other,2019,10,24,0,5,38XX W 13TH AVE,West Point Grey,486167.9629,5456472.0933
Break and Enter Residential/Other,2019,8,13,12,0,38XX W 15TH AVE,West Point Grey,486307.3429,5456265.749
Break and Enter Residential/Other,2019,6,9,17,0,38XX W 1ST AVE,West Point Grey,486328.2341,5457634.3945
Break and Enter Residential/Other,2019,7,15,5,1,38XX W 1ST AVE,West Point Grey,486328.2341,5457634.3945
Break and Enter Residential/Other,2019,10,30,12,55,38XX W 2ND AVE,West Point Grey,486218.8574,5457534.9686
Break and Enter Residential/Other,2019,11,12,22,40,38XX W 3RD AVE,West Point Grey,486334.3954,5457443.6494
Break and Enter Residential/Other,2019,11,2,4,0,38XX W 8TH AVE,West Point Grey,486181.594,5456960.7058
Break and Enter Residential/Other,2019,9,7,22,30,39XX W 10TH AVE,West Point Grey,486048.3804,5456771.8952
Break and Enter Residential/Other,2019,9,5,19,0,39XX W 11TH AVE,West Point Grey,485960.0724,5456667.2362
Break and Enter Residential/Other,2019,9,6,9,8,39XX W 12TH AVE,West Point Grey,485910.1388,5456571.0287
Break and Enter Residential/Other,2019,7,26,6,0,39XX W 12TH AVE,West Point Grey,485962.1223,5456578.9482
Break and Enter Residential/Other,2019,4,30,23,52,39XX W 16TH AVE,West Point Grey,486008.1785,5456173.8565
Break and Enter Residential/Other,2019,11,10,8,7,39XX W BROADWAY AVE,West Point Grey,486052.3547,5456912.3865
Break and Enter Residential/Other,2019,10,6,12,30,40XX W 16TH AVE,West Point Grey,485720.1735,5456180.5861
Break and Enter Residential/Other,2019,2,23,16,30,40XX W 16TH AVE,West Point Grey,485779.3891,5456179.155
Break and Enter Residential/Other,2019,12,6,23,30,41XX W 14TH AVE,West Point Grey,485530.9728,5456378.8147
Break and Enter Residential/Other,2019,8,18,10,30,42XX W 12TH AVE,West Point Grey,485264.8477,5456596.8663
Break and Enter Residential/Other,2019,4,29,0,0,42XX W 12TH AVE,West Point Grey,485311.4167,5456595.7617
Break and Enter Residential/Other,2019,9,28,13,0,42XX W 12TH AVE,West Point Grey,485391.8539,5456593.8536
Break and Enter Residential/Other,2019,9,9,15,46,43XX W 11TH AVE,West Point Grey,485104.2102,5456689.9617
Break and Enter Residential/Other,2019,11,22,9,39,43XX W 13TH AVE,West Point Grey,485180.6566,5456497.653
Break and Enter Residential/Other,2019,11,28,0,0,43XX W 13TH AVE,West Point Grey,485180.6566,5456497.653
Break and Enter Residential/Other,2019,12,22,21,0,43XX W 14TH AVE,West Point Grey,485130.7528,5456389.2413
Break and Enter Residential/Other,2019,9,6,0,0,43XX W 14TH AVE,West Point Grey,485191.1265,5456387.7188
Break and Enter Residential/Other,2019,10,25,21,0,43XX W 15TH AVE,West Point Grey,485155.6622,5456286.3782
Break and Enter Residential/Other,2019,2,13,11,0,43XX W 15TH AVE,West Point Grey,485200.8593,5456294.265
Break and Enter Residential/Other,2019,9,28,21,45,43XX W 9TH AVE,West Point Grey,485143.0417,5456899.2463
Break and Enter Residential/Other,2019,11,15,17,30,44XX W 13TH AVE,West Point Grey,484881.7635,5456505.4084
Break and Enter Residential/Other,2019,8,3,22,0,44XX W 16TH AVE,West Point Grey,484802.0943,5456203.272
Break and Enter Residential/Other,2019,12,20,11,46,44XX W 7TH AVE,West Point Grey,484802.1565,5457093.0836
Break and Enter Residential/Other,2019,12,28,9,48,44XX W 7TH AVE,West Point Grey,484966.4573,5457087.858
Break and Enter Residential/Other,2019,10,17,15,53,45XX W 16TH AVE,West Point Grey,484590.3058,5456210.481
Break and Enter Residential/Other,2019,11,6,10,0,45XX W 16TH AVE,West Point Grey,484666.0346,5456207.8984
Break and Enter Residential/Other,2019,1,7,13,0,45XX W 4TH AVE,West Point Grey,484680.5462,5457381.3333
Break and Enter Residential/Other,2019,6,7,17,10,45XX W 4TH AVE,West Point Grey,484752.1211,5457379.5133
Break and Enter Residential/Other,2019,11,30,16,0,45XX W 7TH AVE,West Point Grey,484652.8541,5457095.5927
Break and Enter Residential/Other,2019,12,20,13,14,45XX W 8TH AVE,West Point Grey,484674.1024,5456998.9193
Break and Enter Residential/Other,2019,8,24,8,0,46XX W 11TH AVE,West Point Grey,484362.1703,5456718.0679
Break and Enter Residential/Other,2019,12,21,21,54,46XX W 5TH AVE,West Point Grey,484387.8114,5457291.3688
Break and Enter Residential/Other,2019,7,9,10,56,46XX W 5TH AVE,West Point Grey,484400.8809,5457300.2178
Break and Enter Residential/Other,2019,1,1,10,8,47XX BELMONT AVE,West Point Grey,484092.3672,5458061.5424
Break and Enter Residential/Other,2019,6,14,23,0,47XX BELMONT AVE,West Point Grey,484235.3109,5457997.0816
Mischief,2019,6,12,18,41,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Mischief,2019,12,24,14,0,16XX BLANCA ST,West Point Grey,484374.3936,5457830.7678
Mischief,2019,11,3,16,9,19XX WALLACE ST,West Point Grey,486126.3004,5457363.1609
Mischief,2019,3,8,19,0,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Mischief,2019,10,16,10,0,20XX HIGHBURY ST,West Point Grey,486353.9537,5457303.9597
Mischief,2019,8,14,20,30,22XX TRIMBLE ST,West Point Grey,485022.9681,5457198.204
Mischief,2019,2,21,11,17,24XX CROWN ST,West Point Grey,485828.8035,5456866.4185
Mischief,2019,9,16,10,37,25XX CROWN ST,West Point Grey,485894.2577,5456792.1522
Mischief,2019,11,4,19,0,25XX CROWN ST,West Point Grey,485894.2577,5456792.1522
Mischief,2019,5,27,22,30,25XX WALLACE CRES,West Point Grey,485933.5772,5456938.9451
Mischief,2019,7,29,1,0,26XX SASAMAT ST,West Point Grey,484789.8871,5456805.0648
Mischief,2019,9,21,0,0,28XX TRIMBLE ST,West Point Grey,485003.4619,5456519.327
Mischief,2019,4,5,10,23,29XX CROWN ST,West Point Grey,485886.5102,5456473.237
Mischief,2019,6,30,21,20,37XX W 10TH AVE,West Point Grey,486470.3891,5456758.6821
Mischief,2019,12,17,0,0,37XX W 11TH AVE,West Point Grey,486429.7131,5456655.7782
Mischief,2019,4,5,0,27,37XX W 12TH AVE,West Point Grey,486355.4009,5456569.5993
Mischief,2019,7,13,10,51,37XX W BROADWAY AVE,West Point Grey,486448.324,5456857.4189
Mischief,2019,12,8,20,59,37XX W BROADWAY AVE,West Point Grey,486448.324,5456857.4189
Mischief,2019,7,17,19,0,37XX W BROADWAY AVE,West Point Grey,486469.5332,5456866.4475
Mischief,2019,8,5,18,42,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Mischief,2019,8,25,22,0,38XX W 13TH AVE,West Point Grey,486227.5757,5456470.5406
Mischief,2019,5,28,4,43,38XX W 14TH AVE,West Point Grey,486271.6156,5456368.5228
Mischief,2019,8,15,18,0,38XX W 3RD AVE,West Point Grey,486298.1597,5457444.0949
Mischief,2019,10,30,12,6,39XX POINT GREY RD,West Point Grey,486116.6778,5457633.8457
Mischief,2019,11,1,9,2,39XX POINT GREY RD,West Point Grey,486116.6778,5457633.8457
